markup,product_type,code,description,ipi,supplier_id,supplier_price,width
"2,28",3,5004,chenille liso  - liquidação ,0,1,"34,88816","1,40"
"2,28",3,5768,voil nylon,0,1,"16,4285","3,00"
"2,28",3,5770,filtro solar ,0,1,"19,1168","3,00"
"2,28",3,8472,algodão liso,0,1,"65,83348","1,40"
"2,28",3,8477,acrilico estampado,0,1,"123,78128","1,40"
"2,28",3,8479,acrilico estampado,0,1,"128,59035","1,40"
"2,28",3,8480,acrilico estampado,0,1,"113,92418","1,40"
"2,28",3,8481,acrilico liso ,0,1,"97,73464","1,40"
"2,28",3,8482,acrilico estampado,0,1,"123,78128","1,40"
"2,28",3,8485,acrilico estampado,0,1,"123,78128","1,40"
"2,28",3,8487,black out,0,1,"49,8829","1,40"
"2,28",3,8646,jeans ,0,1,"47,792","1,35"
"2,28",3,8679,rústico ,0,1,"46,5972","3,00"
"2,28",3,8680,crepe ,0,1,"29,5713","3,00"
"2,28",3,8812,algodão liso,0,1,"65,83348","1,40"
"2,28",3,8817,acrilico estampado,0,1,"113,92418","1,40"
"2,28",3,8818,acrilico estampado,0,1,"113,92418","1,40"
"2,28",3,8819,acrilico estampado,0,1,"123,78128","1,40"
"2,28",3,8820,acrilico estampado,0,1,"123,78128","1,40"
"2,28",3,8821,acrilico estampado,0,1,"123,78128","1,40"
"2,28",3,8822,acrilico estampado,0,1,"123,78128","1,40"
"2,28",3,8851,flamê,0,1,"86,65287","1,40"
"2,28",3,8861,linho   -  liquidação,0,1,"46,56733","1,40"
"2,28",3,8862,linho ,0,1,"87,84767","1,40"
"2,28",3,8863,linho   -  liquidação,0,1,"46,56733","1,40"
"2,28",3,8875,voil amassado,0,1,"66,78932","2,70"
"2,28",3,8876,voil amassado,0,1,"66,78932","2,70"
"2,28",3,8877,voil listrado ,0,1,"66,78932","2,65"
"2,28",3,8878,rústico cortina,0,1,"87,93728","2,70"
"2,28",3,8879,rústico cortina,0,1,"106,0385","2,70"
"2,28",3,8880,voil amassado,0,1,"78,22953","2,70"
"2,28",3,8881,voil rústico ,0,1,"78,22953","2,70"
"2,28",3,8882,rústico cortina,0,1,"74,52565","2,70"
"2,28",3,8887,voil seda ,0,1,"80,29056","3,00"
"2,28",3,8893,veludo cotelê  -  liquidação,0,1,"46,56733","1,36"
"2,28",3,8894,veludo liso  -  liquidação,0,1,"46,56733","1,36"
"2,28",3,8987,voil colorido ,0,1,"16,4285","3,00"
"2,28",3,8992,tafetá  -  liquidação,0,1,"46,56733","1,40"
"2,28",3,8993,tafetá  -  liquidação,0,1,"46,56733","1,40"
"2,28",3,8994,tafetá,0,1,"91,73077","1,40"
"2,28",3,9020,forro ,0,1,"20,0129","3,00"
"2,28",3,9051,chenille   -  liquidação,0,1,"23,23886","1,35"
"2,28",3,9052,chenille   -  liquidação,0,1,"34,88816","1,35"
"2,28",3,9053,chenille   -  liquidação,0,1,"23,23886","1,40"
"2,28",3,9054,chenille   -  liquidação,0,1,"34,88816","1,40"
"2,28",3,9055,linho ,0,1,"94,0905","1,40"
"2,28",3,9058,devorê ,0,1,"101,558","1,30"
"2,28",3,9059,voil bordado ,0,1,"132,9215","2,65"
"2,28",3,9060,voil bordado ,0,1,"132,9215","2,65"
"2,28",3,9062,voil bordado ,0,1,"132,9215","2,65"
"2,28",3,9063,voil bordado ,0,1,"132,9215","2,65"
"2,28",3,9067,voil amassado ,0,1,"83,78535","2,65"
"2,28",3,9069,voil amassado ,0,1,"88,14637","2,65"
"2,28",3,9070,voil amassado ,0,1,"78,67758","2,80"
"2,28",3,9072,organza,0,1,"82,79964","3,00"
"2,28",3,9073,voil amassado ,0,1,"100,78138","2,65"
"2,28",3,9074,tafetá ,0,1,"77,39317","1,40"
"2,28",3,9097,voil bordado ,0,1,"132,9215","2,65"
"2,28",3,9098,voil bordado ,0,1,"132,9215","2,65"
"2,28",3,9099,voil bordado ,0,1,"131,66696","2,65"
"2,28",3,9100,organza ,0,1,"67,17763","3,00"
"2,28",3,9101,organza amassada,0,1,"65,32569","2,70"
"2,28",3,9110,chenille liso  - liquidação ,0,1,"23,23886","1,40"
"2,28",3,9111,chenille   -  liquidação,0,1,"23,23886","1,40"
"2,28",3,9113,rústico ,0,1,"72,8828","1,40"
"2,28",3,9114,rústico ,0,1,"94,62816","1,40"
"2,28",3,9115,rústico flamê,0,1,"97,70477","1,40"
"2,28",3,9117,seda listrada,0,1,"146,363","1,40"
"2,28",3,9118,seda listrada,0,1,"146,363","1,40"
"2,28",3,9120,rústico ,0,1,"137,1033","1,39"
"2,28",3,9121,bouclet,0,1,"115,92547","1,39"
"2,28",3,9122,bouclet,0,1,"127,69425","1,40"
"2,28",3,9123,bouclet,0,1,"70,97112","1,35"
"2,28",3,9124,bouclet,0,1,"68,701","1,40"
"2,28",3,9125,rústico ,0,1,"93,22427","1,40"
"2,28",3,9126,bouclet,0,1,"122,7657","1,40"
"2,28",3,9127,veloutê,0,1,"91,46194","1,40"
"2,28",3,9128,veloutê,0,1,"106,66577","1,40"
"2,28",3,9172,shantung,0,1,"43,0128","1,50"
"2,28",3,9177,acrilico ,0,1,"128,59035","1,40"
"2,28",3,9178,aquatec,0,1,"67,53607","1,40"
"2,28",3,9179,acrilico ,0,1,"113,92418","1,40"
"2,28",3,9180,acrilico ,0,1,"113,92418","1,40"
"2,28",3,9181,acrilico ,0,1,"123,78128","1,40"
"2,28",3,9182,aquatec,0,1,"67,53607","1,40"
"2,28",3,9183,aquatec,0,1,"67,53607","1,40"
"2,28",3,9184,aquatec,0,1,"67,53607","1,40"
"2,28",3,9185,acrilico ,0,1,"123,78128","1,40"
"2,28",3,9190,acrilico ,0,1,"113,92418","1,40"
"2,28",3,9228,organza bordada,0,1,"131,66696","2,80"
"2,28",3,9229,organza listrada,0,1,"99,67619","3,00"
"2,28",3,9230,organza listrada,0,1,"61,44259","3,00"
"2,28",3,9231,voil listrado ,0,1,"61,44259","3,00"
"2,28",3,9234,voil amassado ,0,1,"83,21782","2,80"
"2,28",3,9235,voil amassado ,0,1,"65,05686","2,75"
"2,28",3,9236,organza,0,1,"62,727","3,00"
"2,28",3,9237,seda mista,0,1,"89,3113","3,00"
"2,28",3,9238,rústico linho,0,1,"112,10211","2,80"
"2,28",3,9239,rústico linho,0,1,"99,7658","2,80"
"2,28",3,9240,rústico linho,0,1,"108,1294","2,80"
"2,28",3,9241,rústico ,0,1,"102,69306","2,80"
"2,28",3,9242,rústico ,0,1,"67,23737","1,40"
"2,28",3,9244,bouclet,0,1,"64,10102","1,30"
"2,28",3,9246,seda rústica ,0,1,"143,376","1,38"
"2,28",3,9248,voil,0,1,"82,68016","2,80"
"2,28",3,9254,estampado  -  liquidação,0,1,"46,56733","1,40"
"2,28",3,9255,linho listrado -liquidação,0,1,"46,56733","1,40"
"2,28",3,9256,estampado  -  liquidação,0,1,"46,56733","1,40"
"2,28",3,9257,estampado  -  liquidação,0,1,"46,56733","1,40"
"2,28",3,9258,linho listrado -liquidação,0,1,"46,56733","1,40"
"2,28",3,9259,estampado  -  liquidação,0,1,"46,56733","1,40"
"2,28",3,9271,estampado  -  liquidação,0,1,"46,56733","1,40"
"2,28",3,9276,voil anarruga ,0,1,"45,91019","2,90"
"2,28",3,9290,organza bordada,0,1,"131,66696","2,90"
"2,28",3,9292,chenille liso,0,1,"126,73841","1,35"
"2,28",3,9294,chenille liso,0,1,"83,36717","1,38"
"2,28",3,9295,chenille   -  liquidação,0,1,"46,56733","1,35"
"2,28",3,9296,veludo     -  liquidação            ,0,1,"46,56733","1,35"
"2,28",3,9297,veludo     -  liquidação            ,0,1,"46,56733","1,35"
"2,28",3,9298,veludo     -  liquidação            ,0,1,"46,56733","1,35"
"2,28",3,9299,chenille   -  liquidação,0,1,"46,56733","1,35"
"2,28",3,9300,chenille   -  liquidação     ,0,1,"46,56733","1,35"
"2,28",3,9301,chenille   -  liquidação           ,0,1,"46,56733","1,35"
"2,28",3,9302,chenille   -  liquidação       ,0,1,"46,56733","1,35"
"2,28",3,9303,veludo     -  liquidação            ,0,1,"46,56733","1,35"
"2,28",3,9304,chenille    -  liquidação,0,1,"46,56733","1,35"
"2,28",3,9305,chenille    -  liquidação,0,1,"46,56733","1,35"
"2,28",3,9306,chenille    -  liquidação,0,1,"46,56733","1,40"
"2,28",3,9307,chenille    -  liquidação,0,1,"46,56733","1,40"
"2,28",3,9308,organza listrada,0,1,"112,0125","3,00"
"2,28",3,9338,couro sintetico ,0,1,"79,1555","1,40"
"2,28",3,9340,nautico ,0,1,"64,8179","1,40"
"2,28",3,9344,couro sintetico ,0,1,"75,5711","1,40"
"2,28",3,9345,couro sintetico ,0,1,"32,5583","1,40"
"2,28",3,9346,couro sintetico ,0,1,"32,5583","1,40"
"2,28",3,9347,couro sintetico ,0,1,"79,1555","1,40"
"2,28",3,9348,couro sintetico ,0,1,"75,5711","1,40"
"2,28",3,9349,couro sintetico ,0,1,"79,1555","1,40"
"2,28",3,9350,gorgurão liso,0,1,"46,8959","3,00"
"2,28",3,9351,gorgurão liso,0,1,"39,87645","3,00"
